sample_size,method,method_label,silhouette,davies_bouldin,anomaly_rate_pct,time_sec
500,ensemble_kmeans_if_lof,Ensemble (K-Means + IF + LOF),0.5812723880748856,1.931184865337058,8.4,3.018492300005164
500,iforest,Isolation Forest,0.5069788829130821,1.7126646656786864,14.6,0.5391501000267453
500,kmeans,K-Means,0.5520608121493464,0.6129051398178968,0.6,0.700166700000409
500,lof,LOF,0.4382803468631339,2.70724259664672,12.6,0.003664500021841377
500,ocsvm,One-Class SVM,0.11261757935901553,2.617232031269281,50.0,0.020971800026018173
1000,ensemble_kmeans_if_lof,Ensemble (K-Means + IF + LOF),0.7114496508095143,1.5845440176975005,6.9,1.5833153999992646
1000,iforest,Isolation Forest,0.6008881641652515,1.5732180990196323,13.200000000000001,0.48683129996061325
1000,kmeans,K-Means,,,0.0,0.8519244999624789
1000,lof,LOF,0.6261212742063406,1.872026528263665,9.5,0.009178800042718649
1000,ocsvm,One-Class SVM,0.09809920452963901,2.404834511208645,50.0,0.08950910001294687
2000,ensemble_kmeans_if_lof,Ensemble (K-Means + IF + LOF),0.6739569182706169,1.843386374644045,5.0,2.5473148000310175
2000,iforest,Isolation Forest,0.556660262239627,1.5630743503023807,14.399999999999999,0.5256406999542378
2000,kmeans,K-Means,,,0.0,1.8618425999884494
2000,lof,LOF,0.5609267475210105,2.299410944834327,7.7,0.020162399974651635
2000,ocsvm,One-Class SVM,0.10736580537785881,2.431609512901933,49.95,0.3003440999891609
3186,ensemble_kmeans_if_lof,Ensemble (K-Means + IF + LOF),0.6459799255549585,2.134133981153525,3.923414940364093,2.76262409996707
3186,iforest,Isolation Forest,0.5921845646743147,1.5332470290734834,13.0571249215317,0.5951097000506707
3186,kmeans,K-Means,0.7944814707694595,0.14320607995032697,0.031387319522912745,2.120650700002443
3186,lof,LOF,0.4944059052199607,2.9192688816272585,6.74827369742624,0.0614079000079073
3186,ocsvm,One-Class SVM,0.10207172027445906,2.4415971406288373,50.125549278091654,1.0511752999736927
