sample_size,method,method_label,silhouette,davies_bouldin,anomaly_rate_pct,time_sec
500,dbscan,DBSCAN,0.47222888198923996,2.0237403606560385,6.6000000000000005,1.349628700001631
500,iforest,Isolation Forest,0.33112799312313584,2.2357494667375954,22.6,0.08433069998864084
500,lof,LOF,0.1542372117735054,6.111357022082548,17.599999999999998,0.010431599977891892
500,ocsvm,One-Class SVM,0.11483601158379024,3.2871406351522903,50.0,0.028327700041700155
500,zscore_iforest,z-score + Isolation Forest,0.3209607308496585,2.2843512702450055,23.400000000000002,0.09058120002737269
1000,dbscan,DBSCAN,0.5063587865121454,2.262675266609289,5.7,0.027776500035542995
1000,iforest,Isolation Forest,0.35970327760773935,2.17694718264431,19.1,0.1099652000120841
1000,lof,LOF,0.24851178754851141,4.725847160780401,15.0,0.02071559999603778
1000,ocsvm,One-Class SVM,0.14160545231147398,2.8283895146558415,50.1,0.10605920001398772
1000,zscore_iforest,z-score + Isolation Forest,0.36655508518805024,2.0565806324999016,20.9,0.11556629999540746
2000,dbscan,DBSCAN,0.4827022997224592,2.3302720105202948,6.950000000000001,0.056944800016935915
2000,iforest,Isolation Forest,0.3770793642087781,2.108851403903899,18.7,0.12524409999605268
2000,lof,LOF,0.23515995628405675,5.866421461867198,15.5,0.042038500017952174
2000,ocsvm,One-Class SVM,0.16166215286509888,2.65256116902598,49.95,0.4409933999995701
2000,zscore_iforest,z-score + Isolation Forest,0.37577135845032605,2.0056562114047245,21.25,0.12214900000253692
4000,dbscan,DBSCAN,0.46689837611246915,2.2073500508099873,6.375,0.06458060001023114
4000,iforest,Isolation Forest,0.36400399248618465,2.0645521613897375,21.825,0.13646229996811599
4000,lof,LOF,0.23923780342991358,5.525145518887128,13.600000000000001,0.03278649999992922
4000,ocsvm,One-Class SVM,0.14754288835784363,2.863473949710609,49.875,1.1243554999819025
4000,zscore_iforest,z-score + Isolation Forest,0.36147755119206293,2.077423082047659,23.225,0.13816460000816733
7000,dbscan,DBSCAN,0.42980167204697617,1.8773732300174717,5.957142857142857,0.17335940001066774
7000,iforest,Isolation Forest,0.36090033785146786,2.1592016145656014,20.47142857142857,0.19115240004612133
7000,lof,LOF,0.2153478103483224,5.9750978436885855,11.357142857142858,0.06845849996898323
7000,ocsvm,One-Class SVM,0.15531352209129362,2.7257498097749298,50.0,2.105338800000027
7000,zscore_iforest,z-score + Isolation Forest,0.3723152490178652,1.9588996810538468,22.371428571428574,0.1510920000146143
11000,dbscan,DBSCAN,0.4311480413121714,1.8787990695428498,6.418181818181819,0.3516956999665126
11000,iforest,Isolation Forest,0.36992005177500764,2.135619323286855,20.09090909090909,0.24024549999739975
11000,lof,LOF,0.2682347828640549,5.0659883413291205,8.427272727272728,0.12701089994516224
11000,ocsvm,One-Class SVM,0.15178285247389608,2.810583505023416,49.75454545454546,3.0652271999861114
11000,zscore_iforest,z-score + Isolation Forest,0.3653923975285557,2.09223846225199,21.790909090909093,0.22035529999993742
